字,拼音,IPA,備註
倭,wo1,uo̞1,
倪,ni2,ȵi2,
俾,bi3,pi3,
倫,lueng2,luəŋ2,
倉,cang1,tsʰã1,
倉,qyuo1,tɕʰyo̞1,
偺,za2,tsa2,
偽,wei4,uei4,
停,tieng2,tʰiəŋ2,
停,ti2,tʰi2,
假,jia3,tɕia3,
偃,ye3,ie̞3,
偌,raq6,ɻʌʔ6,
做,zou4,tsɤu4,
偉,wei3,uei3,
健,jie4,tɕie̞4,
偶,ngou3,ŋɤu3,
偎,wae1,uɛ1,
偕,xie2,ɕie̞2,
偵,zheng1,tʂəŋ1,
側,caq5,tsʰʌʔ5,
偷,tou1,tʰɤu1,
偏,pie1,pʰie̞1,
倏,suaq5,suʌʔ5,
傢,jia1,tɕia1,
傍,bang4,pã4,
傅,hu4,xu4,
備,bi4,pi4,
傑,jiaq6,tɕiʌʔ6,
傀,kuae2,kʰuɛ2,
傖,ceng2,tsʰəŋ2,
傘,sang3,sã3,
傭,yueng4,yəŋ4,
債,zae4,tsɛ4,
傲,ngo4,ŋɔ4,
傳,zuon4,tsuõ̞4,
僅,jieng3,tɕiəŋ3,
傾,qieng3,tɕʰiəŋ3,
催,cuae1,tsʰuɛ1,
傷,shang1,ʂã1,
傻,sha3,ʂa3,
傯,zueng3,tsuəŋ3,
僧,seng1,səŋ1,
僮,tueng2,tʰuəŋ2,
僥,jio3,tɕiɔ3,
僖,xi1,ɕi1,
僭,jie4,tɕie̞4,
僚,lio2,liɔ2,
僕,paq6,pʰʌʔ6,
像,xiang4,ɕiã4,
像,xyuo4,ɕyo̞4,
僑,qio2,tɕʰiɔ2,
僱,gu4,ku4,
億,yi4,i4,
儀,ni2,ȵi2,
僻,piaq5,pʰiʌʔ5,
僵,jiang1,tɕiã1,
價,jia4,tɕia4,
儂,neng2,ȵəŋ2,
儈,kuae4,kʰuɛ4,
儉,jie3,tɕie̞3,
儒,zsw2,zʮ2,
儘,jieng3,tɕiəŋ3,
儔,chou2,tʂʰɤu2,
儐,bieng1,piəŋ1,
優,you1,iɤu1,
償,chang2,tʂʰã2,
償,shang3,ʂã3,
儡,luei4,luei4,
儲,cw3,tsʰʮ3,
儷,li4,li4,
儼,nie3,ȵie̞3,
兀,waq6,uʌʔ6,
兀,waq5,uʌʔ5,
元,yue2,yẽ̞2,
允,yueng3,yəŋ3,
充,cueng1,tsʰuəŋ1,
兄,xyueng1,ɕyəŋ1,
兄,xyu1,ɕy1,
光,guon1,kuõ̞1,
光,guo1,kuo̞1,
兇,xyueng1,ɕyəŋ1,
兆,zho4,tʂɔ4,
先,xie1,ɕie̞1,
兌,duae4,tuɛ4,
克,kaq5,kʰʌʔ5,
兕,sr4,sɿ4,
免,mie3,mie̞3,
兔,tu4,tʰu4,
兒,er2,ər2,
兗,ye3,ie̞3,
兜,dou1,tɤu1,
兢,jieng1,tɕiəŋ1,
入,raq6,ɻʌʔ6,
入,zuaq6,tsuʌʔ6,
內,nae4,ȵɛ4,
全,qyue2,tɕʰyẽ̞2,
兩,liang3,liã3,
兩,lia3,lia3,
八,baq5,pʌʔ5,
六,luaq6,luʌʔ6,
六,liou4,liɤu4,
兮,xi1,ɕi1,
公,gueng1,kuəŋ1,
共,gueng4,kuəŋ4,
兵,bieng1,piəŋ1,
具,jyu4,tɕy4,
其,qi2,tɕʰi2,
典,die3,tie̞3,
兼,jie1,tɕie̞1,
冀,ji4,tɕi4,
冉,rang2,ɻã2,
冊,caq5,tsʰʌʔ5,
再,zae4,tsɛ4,
冒,mo4,mɔ4,
冑,zhou4,tʂɤu4,
冕,mie3,mie̞3,
最,zuei4,tsuei4,
冗,zsueng3,zuəŋ3,
冠,guon1,kuõ̞1,
冠,guon4,kuõ̞4,
冤,yue1,yẽ̞1,
冥,mieng2,miəŋ2,
冢,zueng3,tsuəŋ3,
冬,dueng1,tuəŋ1,
冰,bieng1,piəŋ1,
冶,ye3,ie̞3,
冷,leng3,ləŋ3,
冷,lia3,lia3,
冽,liaq6,liʌʔ6,
凍,dueng1,tuəŋ1,
凍,dueng4,tuəŋ4,
凌,lieng2,liəŋ2,
凌,li2,li2,
准,zueng3,tsuəŋ3,
凋,dio1,tiɔ1,
凜,lieng3,liəŋ3,
凝,nieng2,ȵiəŋ2,
几,ji3,tɕi3,
凰,huon2,xuõ̞2,
凰,huo2,xuo̞2,
凱,kae3,kʰɛ3,
凳,deng4,təŋ4,
凶,xyueng1,ɕyəŋ1,
凹,wa4,ua4,
凹,ngo4,ŋɔ4,
出,cuaq5,tsʰuʌʔ5,
凸,tuaq5,tʰuʌʔ5,
函,hang2,xã2,
刀,do1,tɔ1,
刁,dio1,tiɔ1,
刃,reng4,ɻəŋ4,
分,hueng1,xuəŋ1,
切,qiaq5,tɕʰiʌʔ5,
刈,ni4,ȵi4,
刊,kang1,kʰã1,
列,liaq6,liʌʔ6,
刑,xieng2,ɕiəŋ2,
划,huaq6,xuʌʔ6,
刎,weng3,uəŋ3,
別,biaq6,piʌʔ6,
判,pang4,pʰã4,
利,li4,li4,
刪,sang4,sã4,
刨,po2,pʰɔ2,
刨,bo2,pɔ2,
刻,kaq5,kʰʌʔ5,
券,qyue4,tɕʰyẽ̞4,
刷,suaq5,suʌʔ5,
刺,cr4,tsʰɿ4,
到,do4,tɔ4,
刮,guaq5,kuʌʔ5,
制,zhi4,tʂi4,
剁,duo4,tuo̞4,
剁,duei4,tuei4,
剎,saq5,sʌʔ5,
剃,ti4,tʰi4,
削,xyuaq5,ɕyʌʔ5,
前,qie2,tɕʰie̞2,
前,jie2,tɕie̞2,
剌,laq6,lʌʔ6,
剋,kaq5,kʰʌʔ5,
則,zaq5,tsʌʔ5,
剖,pu1,pʰu1,存疑
剜,won1,uõ̞1,
剜,won3,uõ̞3,
剔,tiaq5,tʰiʌʔ5,
剛,gang1,kã1,
剝,baq5,pʌʔ5,
剪,jie3,tɕie̞3,
副,hu4,xu4,
割,gaq5,kʌʔ5,
剴,gae1,kɛ1,
創,cuon1,tsʰuõ̞1,
剩,sheng4,ʂəŋ4,
剩,she4,ʂʅɘ4,
剿,jio3,tɕiɔ3,
剷,cang3,tsʰã3,
剽,pio2,pʰiɔ2,
劃,hua4,xua4,
劇,jyu4,tɕy4,
劈,piaq5,pʰiʌʔ5,
劉,liou2,liɤu2,
劍,jie4,tɕie̞4,
劑,ji4,tɕi4,
劑,zei4,tsei4,
力,liaq6,liʌʔ6,
加,jia1,tɕia1,
功,gueng1,kuəŋ1,
劣,lyuaq6,lyʌʔ6,
劫,jiaq5,tɕiʌʔ5,
助,zw4,tsʮ4,
努,nou3,ȵɤu3,
劬,qyu2,tɕʰy2,
劾,haq6,xʌʔ6,
勇,yueng3,yəŋ3,
勉,mie3,mie̞3,
勃,baq6,pʌʔ6,
勁,jieng4,tɕiəŋ4,
勒,laq6,lʌʔ6,
務,wu4,u4,mu4存疑
務,mu4,mu4,
勘,kang4,kʰã4,
動,dueng4,tuəŋ4,
勞,lo2,lɔ2,
勝,sheng4,ʂəŋ4,shr1勝不住（存疑）
勝,shr1,ʂʅ1,
勛,xyueng1,ɕyəŋ1,
募,mu4,mu4,
勦,co2,tsʰɔ2,
勤,qieng2,tɕʰiəŋ2,
勢,shr4,ʂʅ4,
勵,li4,li4,
勸,qyue4,tɕʰyẽ̞4,
勻,yueng2,yəŋ2,
勻,yeng2,iəŋ2,
勾,gou1,kɤu1,
勿,waq6,uʌʔ6,
包,bo1,pɔ1,
匆,cueng1,tsʰuəŋ1,
匈,xyueng1,ɕyəŋ1,
匍,pu2,pʰu2,
匐,huaq6,xuʌʔ6,
匏,po2,pʰɔ2,
匕,bi3,pi3,
化,hua4,xua4,
