字,拼音,IPA,備註
壑,haq5,xʌʔ5,
壙,kuon4,kʰuõ̞4,
壘,luei3,luei3,
壞,huae4,xuɛ4,
壟,lueng3,luəŋ3,
壤,rang3,ɻã3,
壩,ba4,pa4,
士,zr4,tsɿ4,
士,sr4,sɿ4,
壬,reng2,ɻəŋ2,
壯,zuon4,tsuõ̞4,
壹,yaq5,iʌʔ5,
壺,hu2,xu2,
壽,shou4,ʂɤu4,
夏,xia4,ɕia4,
夏,ha4,xa4,
夔,kuei2,kʰuei2,
夕,xiaq6,ɕiʌʔ6,
夕,sei1,sei1,
外,wae4,uɛ4,
夙,xyuaq5,ɕyʌʔ5,
多,duo1,tuo̞1,
多,dei1,tei1,
夜,ye4,ie̞4,
够,gou4,kɤu4,
夥,huo3,xuo̞3,
夥,huei3,xuei3,
夢,meng2,məŋ2,
夤,yeng2,iəŋ2,
大,dae4,tɛ4,
大,dei4,tei4,
大,da4,ta4,
天,tie1,tʰie̞1,
夫,hu1,xu1,
太,tae4,tʰɛ4,
夭,yo1,iɔ1,
央,yang1,iã1,
央,yuo1,yo̞1,
失,shaq5,ʂʌʔ5,
夷,yi2,i2,
夸,kua1,kʰua1,
夾,jiaq5,tɕiʌʔ5,
奉,hueng4,xuəŋ4,
奇,qi2,tɕʰi2,
奈,nae4,ȵɛ4,
奄,ye3,ie̞3,
奔,beng1,pəŋ1,
奕,yaq6,iʌʔ6,
契,qi4,tɕʰi4,
契,qiaq5,tɕʰiʌʔ5,
奏,zou4,tsɤu4,
奎,kuei2,kʰuei2,
奐,huon4,xuõ̞4,
套,to3,tʰɔ3,
奘,zang4,tsã4,
奚,xi2,ɕi2,
奢,she1,ʂʅɘ1,
奠,die4,tie̞4,
奧,ngo4,ŋɔ4,
奪,duaq6,tuʌʔ6,
奩,lie2,lie̞2,
奮,hueng4,xuəŋ4,
女,nzw3,nzʮ3,
奴,nou2,ȵɤu2,
奶,nae3,ȵɛ3,
妄,won4,uõ̞4,
奸,jiang1,tɕiã1,
妃,huei1,xuei1,
好,ho3,xɔ3,
好,ho4,xɔ4,
她,tuo1,tʰuo̞1,
她,ta1,tʰa1,
如,zsw2,zʮ2,
妁,zuaq5,tsuʌʔ5,
妝,zuon1,tsuõ̞1,
妒,du4,tu4,
妨,huon1,xuõ̞1,
妞,niou1,ȵiɤu1,
妣,bi3,pi3,
妙,mio4,miɔ4,
妖,yo1,iɔ1,
妍,nie2,ȵie̞2,
妤,yu2,y2,
妓,ji1,tɕi1,
妊,reng4,ɻəŋ4,
妥,tuo3,tʰuo̞3,
妾,qiaq5,tɕʰiʌʔ5,
妻,cei1,tsʰei1,
委,wei3,uei3,
妹,mae4,mɛ4,
妮,ni2,ȵi2,
姑,gu1,ku1,
姆,mu4,mu4,
姐,jie3,tɕie̞3,
姍,sang1,sã1,
始,sr3,sɿ3,
姓,xieng4,ɕiəŋ4,
姊,zr3,tsɿ3,
妯,chou1,tʂʰɤu1,
妳,n3,ȵ3,
姒,sr4,sɿ4,
姜,jiang1,tɕiã1,
姘,pieng1,pʰiəŋ1,存疑
姿,zr1,tsɿ1,
姣,jio3,tɕiɔ3,
姨,yi2,i2,
娃,wa2,ua2,
姥,mu3,mu3,
姪,zhaq6,tʂʌʔ6,
姚,yo2,iɔ2,
姦,jiang1,tɕiã1,
威,wei1,uei1,
姻,yeng1,iəŋ1,
娑,suo1,suo̞1,
娑,xie1,ɕie̞1,
娘,niang2,ȵiã2,
娘,nyuo2,ȵyo̞2,
娜,nuo3,ȵuo̞3,
娟,jyue1,tɕyẽ̞1,
娛,yu2,y2,
娓,wei3,uei3,
姬,ji1,tɕi1,
娠,sheng1,ʂəŋ1,
娣,di4,ti4,
娩,won3,uõ̞3,
娥,ngo2,ŋɔ2,
娌,li3,li3,
娶,qyu3,tɕʰy3,
娶,caq5,tsʰʌʔ5,
婁,lou2,lɤu2,
婉,won3,uõ̞3,
婦,hu4,xu4,
婪,lang2,lã2,
婀,ngo1,ŋɔ1,
娼,chang1,tʂʰã1,
婢,bi4,pi4,
婚,hueng1,xuəŋ1,
婆,po2,pʰɔ2,
婆,bei1,pei1,
婊,bio3,piɔ3,
婷,tieng2,tʰiəŋ2,
媚,mi4,mi4,
婿,sei4,sei4,
媒,mae2,mɛ2,
媛,yue2,yẽ̞2,
嫁,jia4,tɕia4,
嫉,jiaq6,tɕiʌʔ6,
嫌,xie2,ɕie̞2,
媾,gou4,kɤu4,
媽,mu3,mu3,
媽,mang1,mã1,
媼,ngo3,ŋɔ3,
媳,xiaq5,ɕiʌʔ5,
嫂,so3,sɔ3,
媲,pi4,pʰi4,
嫡,diaq5,tiʌʔ5,
嫦,chang2,tʂʰã2,
嫩,neng4,ȵəŋ4,
嫗,yu4,y4,
嫖,pio2,pʰiɔ2,
嫣,ye1,ie̞1,
嬉,xi1,ɕi1,
嫻,xiang2,ɕiã2,
嬋,chang2,tʂʰã2,
嫵,wu3,u3,
嬌,jio1,tɕiɔ1,
嬝,nio3,ȵiɔ3,
嬴,yeng2,iəŋ2,
嬰,yeng1,iəŋ1,
嬪,pieng2,pʰiəŋ2,
嬸,sheng3,ʂəŋ3,
孀,suon1,suõ̞1,
子,zr3,tsɿ3,
孑,jiaq5,tɕiʌʔ5,
孓,jyuaq6,tɕyʌʔ6,
孔,kueng3,kʰuəŋ3,
孕,yeng4,iəŋ4,
字,zr4,tsɿ4,
存,cueng2,tsʰuəŋ2,
孝,xio4,ɕiɔ4,
孝,ho4,xɔ4,
孜,zr1,tsɿ1,
孚,hu1,xu1,
孟,meng4,məŋ4,
孤,gu1,ku1,
季,ji4,tɕi4,
孩,hei2,xei2,
孫,sueng1,suəŋ1,
孰,suaq6,suʌʔ6,
孳,zr1,tsɿ1,
孱,cang2,tsʰã2,
孵,hu1,xu1,
學,xyuaq6,ɕyʌʔ6,
學,xiaq5,ɕiʌʔ5,
孺,zsw2,zʮ2,
孽,niaq6,ȵiʌʔ6,
孿,luon2,luõ̞2,
它,tuo1,tʰuo̞1,
它,ta1,tʰa1,
宇,yu3,y3,
守,shou3,ʂɤu3,
宅,zaq6,tsʌʔ6,
宅,zhaq6,tʂʌʔ6,
安,ngang1,ŋã1,
完,won2,uõ̞2,
宋,sueng4,suəŋ4,
宏,hueng2,xuəŋ2,
宗,zueng1,tsuəŋ1,
定,dieng4,tiəŋ4,
官,guon1,kuõ̞1,
宜,ni2,ȵi2,
宙,zhou4,tʂɤu4,
宛,won3,uõ̞3,
宣,xyue1,ɕyẽ̞1,
宦,huon4,xuõ̞4,
室,shaq5,ʂʌʔ5,
客,kaq5,kʰʌʔ5,
客,qiaq5,tɕʰiʌʔ5,
宥,you4,iɤu4,
宰,zae3,tsɛ3,
害,hae4,xɛ4,
家,jia1,tɕia1,
宴,ye3,ie̞3,
宮,gueng1,kuəŋ1,
宵,xio1,ɕiɔ1,
容,yueng2,yəŋ2,
宸,cheng2,tʂʰəŋ2,
寇,kou4,kʰɤu4,
寅,yeng2,iəŋ2,
寄,ji4,tɕi4,
寂,jiaq6,tɕiʌʔ6,
宿,xiou4,ɕiɤu4,
宿,xyuaq5,ɕyʌʔ5,
密,miaq6,miʌʔ6,
寒,hang2,xã2,
富,hu4,xu4,
寓,yu4,y4,
寐,mi4,mi4,
寞,maq6,mʌʔ6,
寧,nieng2,ȵiəŋ2,
寡,gua3,kua3,
寥,lio2,liɔ2,
實,shaq6,ʂʌʔ6,
寨,zae4,tsɛ4,
寢,qieng3,tɕʰiəŋ3,
寤,wu4,u4,
察,caq5,tsʰʌʔ5,
寮,lio2,liɔ2,
寬,kuon1,kʰuõ̞1,
審,sheng3,ʂəŋ3,
寫,xie3,ɕie̞3,
寵,cueng3,tsʰuəŋ3,
寶,bo3,pɔ3,
寸,cueng4,tsʰuəŋ4,
寺,sr4,sɿ4,
封,hueng1,xuəŋ1,
射,she4,ʂʅɘ4,
射,shaq6,ʂʌʔ6,
尉,wei4,uei4,
專,zuon1,tsuõ̞1,
將,jiang1,tɕiã1,
將,jyuo1,tɕyo̞1,
將,jiang4,tɕiã4,
尊,zueng1,tsuəŋ1,
尋,xieng2,ɕiəŋ2,
對,duae4,tuɛ4,
導,do4,tɔ4,
小,xio3,ɕiɔ3,
少,sho3,ʂɔ3,
尖,jie1,tɕie̞1,
尚,shang4,ʂã4,
尚,suo4,suo̞4,
尤,you2,iɤu2,
尬,jie4,tɕie̞4,
就,jiou4,tɕiɤu4,
尷,jiang1,tɕiã1,
尸,sr1,sɿ1,
尺,chaq5,tʂʰʌʔ5,
尼,nzr2,nzɿ2,
局,jyuaq6,tɕyʌʔ6,
屁,pi4,pʰi4,
尿,nio4,ȵiɔ4,
尾,wei3,uei3,
尾,yi3,i3,
屈,qyuaq5,tɕʰyʌʔ5,
居,jyu1,tɕy1,
屆,jie4,tɕie̞4,
屎,sr3,sɿ3,
屏,bieng3,piəŋ3,屏氣
屏,pieng2,pʰiəŋ2,
屍,sr1,sɿ1,
屋,waq5,uʌʔ5,
屑,xiaq5,ɕiʌʔ5,
展,zhang3,tʂã3,
屐,jiaq6,tɕiʌʔ6,
屠,tu2,tʰu2,
屜,ti4,tʰi4,
屢,luei4,luei4,
層,ceng2,tsʰəŋ2,
履,li3,li3,
屬,suaq6,suʌʔ6,
屯,tueng2,tʰuəŋ2,
屯,dueng2,tuəŋ2,
山,sang1,sã1,
屹,yaq6,iʌʔ6,
岐,qi2,tɕʰi2,
岑,ceng2,tsʰəŋ2,
岔,ca4,tsʰa4,
岷,mieng2,miəŋ2,
岡,gang1,kã1,
岸,ngang4,ŋã4,
岩,niang2,ȵiã2,
岫,xiou4,ɕiɤu4,
岱,dae4,tɛ4,
岳,yuaq6,yʌʔ6,
峙,zhr4,tʂʅ4,
峭,qio4,tɕʰiɔ4,
峽,xiaq6,ɕiʌʔ6,
峻,xyueng4,ɕyəŋ4,
峪,yuaq6,yʌʔ6,
峨,ngo2,ŋɔ2,
峰,hueng1,xuəŋ1,
島,do3,tɔ3,
崇,cueng2,tsʰuəŋ2,
崆,kueng1,kʰuəŋ1,
崎,qi2,tɕʰi2,
崛,jyuaq6,tɕyʌʔ6,
崖,nie2,ȵie̞2,
崢,zeng1,tsəŋ1,
崑,kueng1,kʰuəŋ1,
崩,beng1,pəŋ1,
崔,cuae1,tsʰuɛ1,
崙,lueng2,luəŋ2,
嵌,qiang1,tɕʰiã1,
嵐,lang2,lã2,
嵩,sueng1,suəŋ1,
嶄,zang3,tsã3,
嶇,qyu1,tɕʰy1,
嶝,deng4,təŋ4,
嶼,yu3,y3,
嶺,lieng3,liəŋ3,
嶽,yuaq6,yʌʔ6,
巍,wei2,uei2,
巔,die1,tie̞1,
巒,luon2,luõ̞2,
巖,niang2,ȵiã2,
川,cuon1,tsʰuõ̞1,
州,zhou1,tʂɤu1,
巢,co2,tsʰɔ2,
工,gueng1,kuəŋ1,
巨,jyu4,tɕy4,
巧,qio3,tɕʰiɔ3,
左,zuo3,tsuo̞3,
左,jie4,tɕie̞4,
左,jie3,tɕie̞3,
巫,wu2,u2,
差,cr1,tsʰɿ1,
差,ca4,tsʰa4,
差,ca1,tsʰa1,
己,ji3,tɕi3,
已,yi3,i3,
巳,sr4,sɿ4,
巴,ba1,pa1,
巷,xiang4,ɕiã4,
巷,huo4,xuo̞4,
巽,xyueng4,ɕyəŋ4,
巾,jieng1,tɕiəŋ1,
市,sr4,sɿ4,
布,bu4,pu4,
帆,huon2,xuõ̞2,
希,xi1,ɕi1,
帘,lie2,lie̞2,酒帘
帚,zw3,tsʮ3,
帖,tiaq5,tʰiʌʔ5,
帕,pa4,pʰa4,
帛,biaq6,piʌʔ6,
帑,tang3,tʰã3,
帝,di4,ti4,
帥,suae4,suɛ4,
席,xiaq6,ɕiʌʔ6,
師,sr1,sɿ1,
常,chang2,tʂʰã2,
帶,dae4,tɛ4,
帳,zhang4,tʂã4,
帷,wei2,uei2,
幅,huaq5,xuʌʔ5,
帽,mo4,mɔ4,
幀,zheng1,tʂəŋ1,
幌,huon4,xuõ̞4,
幛,zhang4,tʂã4,
幣,bi4,pi4,
幕,maq6,mʌʔ6,
幗,guaq5,kuʌʔ5,
幔,mang4,mã4,
幢,zuon2,tsuõ̞2,
幟,zr4,tsɿ4,
幫,bang1,pã1,
幫,buo1,puo̞1,
干,gang1,kã1,
平,pieng2,pʰiəŋ2,
并,bieng1,piəŋ1,
年,nie2,ȵie̞2,
幸,xieng4,ɕiəŋ4,
幹,gang4,kã4,
幻,huon4,xuõ̞4,
幼,you4,iɤu4,
幽,you1,iɤu1,
幾,ji3,tɕi3,
幾,ji1,tɕi1,
序,xyu4,ɕy4,
庇,bi4,pi4,
床,cuon2,tsʰuõ̞2,
庚,geng1,kəŋ1,
店,die4,tie̞4,
府,hu3,xu3,
底,di3,ti3,
庖,po2,pʰɔ2,
庠,qiang2,tɕʰiã2,
度,du4,tu4,
庫,ku4,kʰu4,
庭,tieng2,tʰiəŋ2,
座,zuo4,tsuo̞4,
座,jyue4,tɕyẽ̞4,
康,kang1,kʰã1,
庸,yueng1,yəŋ1,
庶,sw4,sʮ4,
庵,ngang1,ŋã1,
庾,yu3,y3,
廊,lang2,lã2,
廁,caq5,tsʰʌʔ5,
廂,xiang1,ɕiã1,
廂,xyuo1,ɕyo̞1,
廉,lie2,lie̞2,
廈,xia4,ɕia4,
廈,ha4,xa4,
廓,guaq5,kuʌʔ5,
廖,lio2,liɔ2,
廢,xi4,ɕi4,
廢,huei4,xuei4,
廚,cw2,tsʰʮ2,
廚,zw2,tsʮ2,
廟,mio4,miɔ4,
廝,saq5,sʌʔ5,
廣,guon3,kuõ̞3,
廠,chang3,tʂʰã3,
龐,pang2,pʰã2,
廬,lou2,lɤu2,
廳,tieng1,tʰiəŋ1,
廷,tieng2,tʰiəŋ2,
延,ye2,ie̞2,
建,jie4,tɕie̞4,
廿,raq6,ɻʌʔ6,存疑
弁,bie4,pie̞4,
弄,lueng4,luəŋ4,
弈,yaq6,iʌʔ6,
弊,bi4,pi4,
式,shaq5,ʂʌʔ5,
弒,sr4,sɿ4,
弓,gueng1,kuəŋ1,
弔,dio4,tiɔ4,
引,yeng3,iəŋ3,
弘,hueng2,xuəŋ2,
弗,huaq5,xuʌʔ5,
弛,sr3,sɿ3,
弟,di4,ti4,
弦,xie2,ɕie̞2,
弧,hu2,xu2,
弩,nou3,ȵɤu3,
弭,mi3,mi3,
弱,zsuaq6,zuʌʔ6,
張,zhang1,tʂã1,
張,zuo1,tsuo̞1,
強,qiang2,tɕʰiã2,
強,jyuo2,tɕyo̞2,
弼,biaq6,piʌʔ6,
彆,bi4,pi4,
彈,tang2,tʰã2,
彈,dang2,tã2,
彌,mi2,mi2,
彎,won1,uõ̞1,
彗,huei4,xuei4,
彙,huei4,xuei4,
彞,yi2,i2,
彤,tueng2,tʰuəŋ2,
形,xieng2,ɕiəŋ2,
彥,nie4,ȵie̞4,
彬,bieng1,piəŋ1,
彩,cae3,tsʰɛ3,
彫,dio1,tiɔ1,
彭,peng2,pʰəŋ2,
彰,zhang1,tʂã1,
影,yeng3,iəŋ3,
影,yi3,i3,
彷,pang2,pʰã2,
役,yaq6,iʌʔ6,
往,won3,uõ̞3,
往,wo3,uo̞3,
征,zheng1,tʂəŋ1,
彿,huaq5,xuʌʔ5,
彼,bi3,pi3,
很,heng3,xəŋ3,
待,dae4,tɛ4,
徊,huae2,xuɛ2,
律,luaq6,luʌʔ6,
徇,xyueng4,ɕyəŋ4,
後,hou4,xɤu4,
徒,tu2,tʰu2,
徑,jieng4,tɕiəŋ4,
徐,xyu2,ɕy2,
得,daq5,tʌʔ5,
得,diaq5,tiʌʔ5,
徙,xi3,ɕi3,
從,cueng2,tsʰuəŋ2,
徘,pae2,pʰɛ2,
御,yu4,y4,
復,huaq5,xuʌʔ5,
循,xyueng2,ɕyəŋ2,
徨,huon2,xuõ̞2,
徬,bang4,pã4,
微,wei2,uei2,
徹,chaq5,tʂʰʌʔ5,
德,daq5,tʌʔ5,
徵,zheng1,tʂəŋ1,
徵,zhi3,tʂi3,
徽,huae1,xuɛ1,
心,xieng1,ɕiəŋ1,
必,biaq5,piʌʔ5,
忙,mang2,mã2,
忙,muo2,muo̞2,
忖,cueng3,tsʰuəŋ3,
忘,won4,uõ̞4,
忘,wo4,uo̞4,
忌,ji4,tɕi4,
志,zr4,tsɿ4,
忍,reng3,ɻəŋ3,
忱,cheng2,tʂʰəŋ2,
快,kuae4,kʰuɛ4,
忝,tie3,tʰie̞3,
忠,zueng1,tsuəŋ1,
忽,huaq5,xuʌʔ5,
念,nie4,ȵie̞4,
忿,hueng3,xuəŋ3,
怏,yang3,iã3,
怔,zheng1,tʂəŋ1,
怯,qiaq5,tɕʰiʌʔ5,
怵,cuaq5,tsʰuʌʔ5,
怖,pu4,pʰu4,
怪,guae4,kuɛ4,
怕,pa4,pʰa4,
怡,yi2,i2,
性,xieng4,ɕiəŋ4,
性,sei4,sei4,
怒,nou4,ȵɤu4,
思,sr1,sɿ1,
怠,dae4,tɛ4,
急,jiaq5,tɕiʌʔ5,
怎,zaq6,tsʌʔ6,
怨,yue1,yẽ̞1,
恍,guon1,kuõ̞1,
恰,qiaq5,tɕʰiʌʔ5,
恨,heng4,xəŋ4,
恢,huae1,xuɛ1,
恆,heng2,xəŋ2,
恃,sr4,sɿ4,
恬,tie2,tʰie̞2,
恫,dueng4,tuəŋ4,
恪,kaq5,kʰʌʔ5,
恤,xyuaq5,ɕyʌʔ5,
恙,yang4,iã4,
恣,zr4,tsɿ4,
恥,chr3,tʂʰʅ3,
恐,kueng3,kʰuəŋ3,
恕,sw4,sʮ4,
恭,gueng1,kuəŋ1,
恩,ngeng1,ŋəŋ1,
息,xiaq5,ɕiʌʔ5,
悄,qio3,tɕʰiɔ3,
悄,qio1,tɕʰiɔ1,
悟,wu4,u4,
悚,sueng3,suəŋ3,
悍,hang4,xã4,
悔,huae3,xuɛ3,
悌,di4,ti4,
悅,yuaq6,yʌʔ6,
悖,bae4,pɛ4,
恿,yueng3,yəŋ3,
患,huon4,xuõ̞4,
悉,xiaq5,ɕiʌʔ5,
悠,you2,iɤu2,
惋,won3,uõ̞3,
悴,cuei4,tsʰuei4,
惦,die4,tie̞4,
悽,cei1,tsʰei1,
情,qieng2,tɕʰiəŋ2,
悻,xieng4,ɕiəŋ4,
悵,chang4,tʂʰã4,
惜,xiaq5,ɕiʌʔ5,
悼,do4,tɔ4,
惘,won3,uõ̞3,
惕,tiaq5,tʰiʌʔ5,
惆,chou1,tʂʰɤu1,
惟,wei2,uei2,
悸,ji4,tɕi4,
惚,huaq5,xuʌʔ5,
惑,huaq6,xuʌʔ6,
惡,wu1,u1,
惡,ngaq5,ŋʌʔ5,
悲,bei1,pei1,
悶,meng4,məŋ4,
惠,huae4,xuɛ4,
愜,qiaq5,tɕʰiʌʔ5,
愣,leng4,ləŋ4,
惺,xieng1,ɕiəŋ1,
愕,ngaq6,ŋʌʔ6,
惰,duo4,tuo̞4,
惻,caq5,tsʰʌʔ5,
惴,zuei4,tsuei4,
慨,kae3,kʰɛ3,
惱,no3,ȵɔ3,
愎,biaq6,piʌʔ6,
惶,huon2,xuõ̞2,
愉,yu2,y2,
愀,qio3,tɕʰiɔ3,
愚,yu2,y2,
意,yi4,i4,
慈,cr2,tsʰɿ2,
感,gang3,kã3,
想,xiang3,ɕiã3,
想,xyuo3,ɕyo̞3,
愛,ngae4,ŋɛ4,
惹,re3,ɻʅɘ3,
愁,cou2,tsʰɤu2,
愁,sou2,sɤu2,
愈,yu3,y3,
慎,sheng4,ʂəŋ4,
慌,huon3,xuõ̞3,
慄,liaq6,liʌʔ6,
慍,yueng4,yəŋ4,
愾,kae4,kʰɛ4,
愴,cuon3,tsʰuõ̞3,
愧,kuei4,kʰuei4,
慇,yeng1,iəŋ1,
愿,yue4,yẽ̞4,
態,tae4,tʰɛ4,
慷,kang3,kʰã3,
慢,mang4,mã4,
慣,guon4,kuõ̞4,
慟,dueng4,tuəŋ4,
慚,cang2,tsʰã2,
慘,cang3,tsʰã3,
慶,qieng4,tɕʰiəŋ4,
慧,huae4,xuɛ4,
慮,luei4,luei4,
慝,taq5,tʰʌʔ5,
慕,mu4,mu4,
憂,you1,iɤu1,
慼,qiaq5,tɕʰiʌʔ5,
慰,wei4,uei4,
慫,sueng3,suəŋ3,
慾,yuaq6,yʌʔ6,
憧,cueng1,tsʰuəŋ1,
憐,lie2,lie̞2,
憫,mieng3,miəŋ3,
憎,zeng1,tsəŋ1,
憬,jieng3,tɕiəŋ3,
憚,dang4,tã4,
憤,hueng4,xuəŋ4,
憔,qio2,tɕʰiɔ2,
憲,xie4,ɕie̞4,
憑,pieng2,pʰiəŋ2,
憩,qi4,tɕʰi4,
憊,bae4,pɛ4,
懍,lieng3,liəŋ3,
憶,yi4,i4,
憾,hang4,xã4,
懂,dueng3,tuəŋ3,
懊,ngo3,ŋɔ3,
懈,xie4,ɕie̞4,
應,yeng4,iəŋ4,
應,yi4,i4,
懇,keng3,kʰəŋ3,
懦,zsw2,zʮ2,
懣,meng3,məŋ3,
懲,cheng3,tʂʰəŋ3,
懷,huae2,xuɛ2,
懶,lang3,lã3,
懵,meng3,məŋ3,
懸,xyue2,ɕyẽ̞2,
懺,cang4,tsʰã4,
懼,jyu4,tɕy4,
懾,zhaq5,tʂʌʔ5,
懿,yi4,i4,
戀,lyue4,lyẽ̞4,
戈,guo1,kuo̞1,
戈,guei1,kuei1,
戊,wu4,u4,
戎,zsueng2,zuəŋ2,
戌,xyuaq5,ɕyʌʔ5,
戍,sw4,sʮ4,
成,cheng2,tʂʰəŋ2,
成,shr2,ʂʅ2,
戒,jie4,tɕie̞4,
我,ngo3,ŋɔ3,
我,ngie3,ŋie̞3,
或,huaq6,xuʌʔ6,
戕,qiang2,tɕʰiã2,
戚,qiaq5,tɕʰiʌʔ5,
戛,ga1,ka1,
戟,jiaq5,tɕiʌʔ5,
戡,kang1,kʰã1,
戢,zaq5,tsʌʔ5,
截,jiaq6,tɕiʌʔ6,
戮,luaq6,luʌʔ6,
戰,zhang4,tʂã4,
戲,xi1,ɕi1,
戴,dae4,tɛ4,
戳,cuaq5,tsʰuʌʔ5,
戶,hu4,xu4,
房,huon2,xuõ̞2,
房,huo2,xuo̞2,
戾,li4,li4,
戾,liaq6,liʌʔ6,
所,suo3,suo̞3,
扁,bang3,pã3,
扁,bie3,pie̞3,
扇,shang1,ʂã1,
扈,hu4,xu4,
扉,huei1,xuei1,
手,shou3,ʂɤu3,
才,cae2,tsʰɛ2,
才,zae2,tsɛ2,
扎,zaq5,tsʌʔ5,
打,da3,ta3,
扔,reng2,ɻəŋ2,
扔,er3,ər3,
扒,baq5,pʌʔ5,
扣,kou3,kʰɤu3,
扛,kang2,kʰã2,
托,taq5,tʰʌʔ5,
抄,co1,tsʰɔ1,
抗,kang4,kʰã4,
抖,dou3,tɤu3,
技,ji4,tɕi4,
扶,hu2,xu2,
抉,jyuaq5,tɕyʌʔ5,
扭,nrou3,ɳɤu3,
把,ba3,pa3,
扼,ngaq5,ŋʌʔ5,
找,zo3,tsɔ3,
找,zho3,tʂɔ3,
批,pi1,pʰi1,
扳,bang1,pã1,
抒,sw1,sʮ1,
扯,che3,tʂʰʅɘ3,
折,shaq6,ʂʌʔ6,
扮,bang4,pã4,
扮,hae3,xɛ3,
投,tou2,tʰɤu2,
抓,zo1,tsɔ1,
抑,yaq5,iʌʔ5,
承,cheng2,tʂʰəŋ2,shr2承不住存疑
承,shr2,ʂʅ2,
拉,la1,la1,
拌,pang1,pʰã1,
拄,zw3,tsʮ3,
抿,mieng3,miəŋ3,
拂,huaq5,xuʌʔ5,
抹,maq6,mʌʔ6,
抹,mei3,mei3,
拒,jyu4,tɕy4,
招,zho1,tʂɔ1,
披,pi1,pʰi1,
拓,taq5,tʰʌʔ5,
拔,maq6,mʌʔ6,
拔,baq6,pʌʔ6,
拋,po1,pʰɔ1,
拈,nie2,ȵie̞2,
抨,peng1,pʰəŋ1,
抽,chou1,tʂʰɤu1,
押,ngaq5,ŋʌʔ5,
拐,guae3,kuɛ3,
拙,zuaq5,tsuʌʔ5,
拇,mu3,mu3,
拍,piaq5,pʰiʌʔ5,
抵,di3,ti3,
拚,hueng4,xuəŋ4,
抱,bo4,pɔ4,
抱,bu4,pu4,
拘,jyu1,tɕy1,
拖,tuo4,tʰuo̞4,
拖,tei1,tʰei1,
拗,ngo3,ŋɔ3,
拆,chaq5,tʂʰʌʔ5,
抬,tae2,tʰɛ2,
抬,dae2,tɛ2,
拎,lieng2,liəŋ2,
拎,li2,li2,
拜,bae4,pɛ4,
挖,wa1,ua1,
按,ngang4,ŋã4,
拼,pieng1,pʰiəŋ1,
拭,shaq5,ʂʌʔ5,
持,chr2,tʂʰʅ2,
拮,jiaq5,tɕiʌʔ5,
拽,zuae4,tsuɛ4,
指,zr3,tsɿ3,
拱,gueng3,kuəŋ3,
拷,ko3,kʰɔ3,
拯,zheng3,tʂəŋ3,
括,guaq5,kuʌʔ5,
拾,shaq6,ʂʌʔ6,
拴,suon1,suõ̞1,
挑,tio1,tʰiɔ1,
挑,tio3,tʰiɔ3,
拳,qyue2,tɕʰyẽ̞2,
挈,qiaq5,tɕʰiʌʔ5,
拿,nza2,nza2,
捎,so1,sɔ1,
挾,xiaq6,ɕiʌʔ6,
振,zheng4,tʂəŋ4,
捕,bu3,pu3,
捂,wu3,u3,
捆,kueng3,kʰuəŋ3,
捏,niaq6,ȵiʌʔ6,
捉,zuaq5,tsuʌʔ5,
挺,tieng2,tʰiəŋ2,
捐,jyue1,tɕyẽ̞1,
挽,won3,uõ̞3,
挪,nuo2,ȵuo̞2,
挪,nei2,ȵei2,
挫,cuo4,tsʰuo̞4,
挨,ngae1,ŋɛ1,
掠,lyuaq6,lyʌʔ6,
控,kueng4,kʰuəŋ4,
捲,jyue3,tɕyẽ̞3,
掖,yaq6,iʌʔ6,
探,tang4,tʰã4,
接,jiaq5,tɕiʌʔ5,
捷,jiaq6,tɕiʌʔ6,
捧,peng3,pʰəŋ3,
掘,jyuaq6,tɕyʌʔ6,
措,cuo4,tsʰuo̞4,
捱,nae2,ȵɛ2,
掩,ye3,ie̞3,
掉,dio4,tiɔ4,轉，掉轉
掃,so3,sɔ3,
掛,gua4,kua4,
捫,meng2,məŋ2,
推,tuae1,tʰuɛ1,
掄,lueng2,luəŋ2,存疑，leng1本字？
授,shou4,ʂɤu4,
掙,zeng4,tsəŋ4,
採,cae3,tsʰɛ3,
掬,jyuaq5,tɕyʌʔ5,
排,pae2,pʰɛ2,
掏,to2,tʰɔ2,
掀,xie1,ɕie̞1,
捻,nie3,ȵie̞3,
捩,liaq6,liʌʔ6,
捨,she3,ʂʅɘ3,
掣,chi4,tʂʰi4,
掌,zhang3,tʂã3,
掌,zuo3,tsuo̞3,
描,mio2,miɔ2,
揀,jiang3,tɕiã3,
揩,qie1,tɕʰie̞1,
揉,rou2,ɻɤu2,
插,caq5,tsʰʌʔ5,
揣,cuae3,tsʰuɛ3,
揣,suae3,suɛ3,
提,ti2,tʰi2,
提,di2,ti2,
握,yuaq5,yʌʔ5,
揖,yaq5,iʌʔ5,
揭,jiaq5,tɕiʌʔ5,
揮,huae1,xuɛ1,
捶,cuei3,tsʰuei3,
援,yue2,yẽ̞2,
揪,jiou1,tɕiɤu1,
換,huon4,xuõ̞4,
摒,bieng4,piəŋ4,
揚,yang2,iã2,
揚,yuo2,yo̞2,
搓,cuo1,tsʰuo̞1,
搓,qie1,tɕʰie̞1,
搾,za4,tsa4,
搞,go3,kɔ3,
搪,tang2,tʰã2,
搭,daq5,tʌʔ5,
搽,ca2,tsʰa2,
搬,bang1,pã1,
搏,baq5,pʌʔ5,
搜,sou1,sɤu1,
